scope,scope_id,model,hotel_count,volume_coverage_pct,MAE,RMSE,MAPE,WMAPE,R2,bias_pct
coverage,clean_cohort,NHiTS_v2_clean_holiday,108.0,82.26403044253439,,,,,,
overall,clean_cohort,SeasonalNaive_same_cohort,108.0,,45.904761904761905,110.52558419617044,122.64053993800957,56.12990877919389,0.7063605477024194,-15.552823963252896
overall,clean_cohort,NHiTS_v2_clean_holiday,108.0,,48.94921187985511,122.45045490846033,131.61628271154754,59.85250077824038,0.6395794268833734,-30.512424548808916
overall,clean_cohort,NHiTS_v1_same_cohort,108.0,,52.50439250264218,136.76601200801477,99.6560746211923,64.19958713203967,0.5503805045057967,-40.83204660982813
cluster,0,NHiTS_v2_clean_holiday,72.0,,57.997892266701136,140.21064777366965,133.73383715838642,59.659845094328865,0.6424741073262439,-28.657614018383953
cluster,1,NHiTS_v2_clean_holiday,17.0,,17.68707615988595,60.04292055929029,103.9786016379193,75.98419000095409,0.33959763694350154,-58.09785113007583
cluster,2,NHiTS_v2_clean_holiday,19.0,,42.63086026862152,86.64108020212002,141.18547557576514,56.34967616504335,0.6093699228794929,-31.95017699549862
