hotel_id,hotel_name,cluster,model,actual_total,predicted_total,MAE,WMAE,RMSE,MAPE,WMAPE,R2
9933,Paloma Finesse,1,GradientBoosting,408.0,341.62801211409896,1.0853121466589528,3.4569152443628095,2.165821018713997,66.36859014978702,56.39367036561226,0.5435795162819888
3213,Club Marco Polo,1,GradientBoosting,561.0,341.59442590431263,1.5009927287842566,6.6468437277891725,3.50274407194481,40.121269814341,56.72200686314838,0.47137663780989447
168642,Rubi Platinum Sign,1,GradientBoosting,425.0,341.7452506119571,1.2111036799989228,4.464614776927997,2.5091799254708542,62.81060905456567,60.412701214063915,0.513042362850127
1400,Orange County Alanya,1,GradientBoosting,780.0,342.89574675446113,2.2248994690094475,7.125559006834289,4.293111947086394,55.78919874184274,60.47162659359011,0.35031440336918285
9621,Kirman Belazur Resort & Spa,1,GradientBoosting,368.0,341.91375543964915,1.07973645138981,3.8167025781938717,2.290858366603453,67.31305270494936,62.202208612673836,0.5062226747664965
3106,Leodikya Kirman Premium,1,GradientBoosting,363.0,341.6026966397045,1.0658102977487471,3.871765507323796,2.1162081943143396,54.3223611241561,62.245670281745014,0.5945212433103046
886,Kimeros Park Holiday Village,1,GradientBoosting,815.0,341.7481684456534,2.4731120397348354,9.98788148497386,5.250905873284955,52.20173844807863,64.3312579661086,0.34732515309355994
698,Aydınbey Gold Dreams Hotel,1,GradientBoosting,319.0,342.54163319098836,0.9743808386314278,3.649739801022664,2.188219765624091,77.36304106129082,64.7550902162579,0.4182673000184669
468,Sueno Hotels Golf Belek,1,GradientBoosting,566.0,338.7224094896608,1.735408002042219,8.757242241392909,4.3641280359343115,58.70133291035183,65.00114777967322,0.2847208077986182
275208,Paloma Sencia,1,GradientBoosting,686.0,340.5497307096696,2.114077113061265,9.083308394580996,4.5285382693966945,54.6209848481611,65.33299533075629,0.42202822103698334
907,Annabella Park Hotel,1,GradientBoosting,309.0,341.5693293023687,0.9611473532513766,2.8934785344322904,1.9661685152634387,88.87735392852633,65.94279575705238,0.49052317697633196
3102,Sidera Kirman Premium,1,GradientBoosting,864.0,341.64185816943274,2.6895572803708174,12.014266975074703,6.013397998394931,55.609512765224814,65.99376660169135,0.3121341114505507
3103,Arycanda Kirman Premium,1,GradientBoosting,691.0,341.70747762437816,2.153114764319102,8.979501318562994,4.378825565610046,61.186557720554724,66.05793488214901,0.47540933379530803
386,Susesi Luxury Resort,1,GradientBoosting,448.0,342.6224175731945,1.398968072342076,7.315382774089258,3.7075801679609484,58.54227790833604,66.20116770904467,0.21137733323426589
1877,Haydarpasha Palace,1,GradientBoosting,450.0,340.60708007235894,1.4113830736445752,7.430179905767666,3.7427995573917276,66.04273720210774,66.49182480281111,0.20822135966932243
1814,Side Aluna Hotel,1,GradientBoosting,785.0,342.5984570667442,2.4706493619528596,11.437314729713473,5.51252855817547,64.8834730751619,66.72326939286702,0.3670589776463279
168644,Rubi Hotel,1,GradientBoosting,834.0,341.61464474453345,2.642422563680373,13.349710348514781,6.447597191826824,54.7488395919347,67.1694944244891,0.2511595285984134
167846,Marvida Family Eco (Ex.Otium Family Eco Club),1,GradientBoosting,536.0,341.55231678830796,1.7212288451279978,6.700064693344947,3.6824665552041473,77.3791293397234,68.07845432222678,0.3334217719148892
167762,Calyptus Kirman Premium,1,GradientBoosting,670.0,342.6786551867813,2.180630820922989,9.741233689929526,4.612784890460432,75.2144142985287,68.99906478144385,0.4299066778786107
596,Robinson Pamfilya,1,GradientBoosting,402.0,340.5432491365921,1.3111502852330017,4.925100312820028,2.51396707552361,75.44145715396508,69.14523892273542,0.5539371834092801
