cluster_id,model,month,actual,predicted,difference,percentage_error
0,GradientBoosting,2026-01,176.0,198.1799242655765,22.17992426557649,12.602229696350278
0,GradientBoosting,2026-02,64.0,310.0904077503948,246.09040775039477,384.5162621099918
0,GradientBoosting,2026-03,172.0,379.17514310710357,207.17514310710357,120.45066459715324
0,GradientBoosting,2026-04,216.0,429.5428125517482,213.54281255174823,98.86241321840195
0,GradientBoosting,2026-05,1767.0,613.4925293036293,-1153.5074706963705,65.28055861326375
0,GradientBoosting,2026-06,1312.0,739.7147023670033,-572.2852976329967,43.61930622202719
0,GradientBoosting,2026-07,5810.0,763.8098933624592,-5046.190106637541,86.85353023472531
1,GradientBoosting,2026-01,520.0,176.2422878063852,-343.7577121936148,66.10725234492593
1,GradientBoosting,2026-02,79.0,145.37905412422387,66.37905412422387,84.02411914458717
1,GradientBoosting,2026-03,904.0,272.655350602227,-631.3446493977731,69.83900988913419
1,GradientBoosting,2026-04,966.0,738.0184447182102,-227.98155528178984,23.600575080930625
1,GradientBoosting,2026-05,12009.0,2883.2924906142944,-9125.707509385706,75.99056965097598
1,GradientBoosting,2026-06,10254.0,8592.129135238534,-1661.8708647614658,16.207049588077492
1,GradientBoosting,2026-07,34334.0,15977.724777912217,-18356.27522208778,53.463841154796356
2,CatBoost,2026-01,4.0,6.583999536786371e-05,-3.9999341600046323,99.99835400011581
2,CatBoost,2026-02,0.0,1.1674541980069308e-06,1.1674541980069308e-06,
2,CatBoost,2026-03,2.0,0.000176752702802235,-1.9998232472971977,99.99116236485989
2,CatBoost,2026-04,23.0,3.53753100524054e-05,-22.999964624689948,99.99984619430413
2,CatBoost,2026-05,26.0,1.18220621046008e-05,-25.999988177937894,99.99995453053036
2,CatBoost,2026-06,8.0,5.498760375213897e-06,-7.999994501239625,99.9999312654953
2,CatBoost,2026-07,23.0,0.0,-23.0,100.0
3,CatBoost,2026-01,736.0,67.58290335491749,-668.4170966450826,90.81754030503839
3,CatBoost,2026-02,155.0,10.13856442595625,-144.86143557404375,93.45899069293145
3,CatBoost,2026-03,768.0,3.184912234547891,-764.8150877654521,99.58529788612657
3,CatBoost,2026-04,236.0,2.6667489743959556,-233.33325102560406,98.87002162101867
3,CatBoost,2026-05,1020.0,7.023872030878239,-1012.9761279691218,99.31138509501194
3,CatBoost,2026-06,1128.0,7.652753951897023,-1120.347246048103,99.32156436596658
3,CatBoost,2026-07,2446.0,9.016101349491636,-2436.9838986505083,99.63139405766591
