k,silhouette,davies_bouldin,inertia,elbow_strength,selection_score
2,0.20486704412626183,1.8085001904736318,332.1122034801284,0.0,1.4140078457368375
3,0.20054189577153161,1.6863728307318002,299.1739911363971,0.1294979006798459,2.102589436968096
4,0.204644287378732,1.5704792007580066,273.6392002327857,0.19242779563990636,2.8073809822892315
5,0.18225539678957967,2.0528864921863494,257.6153673245231,0.16983972956589083,0.882615367499792
6,0.18466785055096663,1.8932738347585174,242.29591090596193,0.14091824878969053,1.109403529605201
7,0.19701666111908786,1.462592602277652,233.12183158834512,0.05674049207206883,1.947683251127974
8,0.18576230836721286,1.5195376350203134,220.89629187111538,0.0,1.0586241967940497
