hotel_id,hotel_name,cluster,model,actual_total,predicted_total,MAE,WMAE,RMSE,MAPE,WMAPE,R2
456,Robinson Çamyuva,1,GradientBoosting,3190.0,342.7142172481643,13.567138925662782,61.26614959085338,29.163500927069506,72.42249479271847,90.16405806396583,-0.09766228230883156
181147,Belek Beach Resort Hotel,1,GradientBoosting,2936.0,338.9847328566211,12.276066514592467,41.06542008589117,22.78513096281009,81.4524736227131,88.64189717621264,-0.19772106175437654
201949,Monachus Family Resort Sorgun,1,GradientBoosting,2656.0,342.706251844945,10.952221835270487,48.05740631040706,23.491491206237317,74.28847339870103,87.41984296224938,-0.09634826681415132
887,Sueno Hotels Deluxe Belek,1,GradientBoosting,2253.0,454.4176224662526,9.136085627907539,26.350948803409242,15.489209176350613,71.23179257638806,85.96760555332438,-0.10604515704145756
813,Champion Holiday Village,1,GradientBoosting,2228.0,342.697307764366,9.372578264080133,52.56269556653816,22.42464930094288,76.77034322054827,89.18252208191151,-0.007202768322780884
471,Crystal Admiral Aqua Collection,1,GradientBoosting,1975.0,342.73734289108944,8.030591417940201,29.589434472781594,15.457923655583365,82.42695065232786,86.20179142295304,-0.023208939407561413
1266,Swandor Hotels & Resort Topkapı Palace,3,CatBoost,1917.0,23.191272177263265,8.957432259250965,22.94155517646804,14.34747718662531,97.88858270963013,99.0597620741369,-0.61698615563169
646,Crystal Waterworld Aqua Collection,1,GradientBoosting,1897.0,349.6330121120191,7.473464232973439,34.51120653739421,16.670506162134682,72.75284021326672,83.52000091673004,-0.03742875748150554
181836,La Benata Hotel,1,GradientBoosting,1890.0,342.60282505172023,7.7052006115498815,44.73860755669541,19.09304420918297,71.84432177225355,86.42870527241136,-0.009653574795707609
647,Crystal Sunset Pearl Collection,1,GradientBoosting,1868.0,342.6902180082439,7.224133837217091,25.754180008905614,13.844465111601076,75.82930786150827,81.98695789561154,0.0045219600794915715
438,Limak Limra Hotel & Resort,1,GradientBoosting,1677.0,341.62517450076484,6.854243807397568,32.342768804069756,14.828652953628808,81.80988060496513,86.64875892476353,0.07296049365203039
828,Selge Beach Resort & Spa,1,GradientBoosting,1579.0,342.63140038724356,5.978068386161894,24.082688057989337,12.264166616850801,72.25286334670717,80.26285610299693,0.06474826941830625
466,Sueno Hotels Beach Side,1,GradientBoosting,1535.0,342.6562732241591,5.990636584254719,28.32839875468046,13.311888506780297,80.62370932271912,82.73713067504887,0.05842239678164307
573,Cornelia Diamond Golf Resort & Spa,1,GradientBoosting,1417.0,442.7429271782332,5.686901820503052,28.72913873197042,13.129048829611111,64.74402533698255,85.08279364478808,0.016762112819643127
645,Xanadu Resort Hotel,1,GradientBoosting,1389.0,432.56385315536704,5.151831788914117,17.46787978483259,9.68511336968135,59.37300871518051,78.63126992439112,0.06772146871275053
439,Limak Lara De Luxe Hotel & Resort,1,GradientBoosting,1295.0,378.2371567702448,5.175882697284557,19.94022285568817,10.043557404346029,73.92369060639716,84.73259705207151,0.10035205960038063
906,Annabella Diamond Hotel & Spa,1,GradientBoosting,1277.0,342.86690276038047,4.475793207727765,13.375163950669577,8.10102998259197,72.19743463595155,74.30447611889477,0.02234748883927473
3104,Sidemarin Kirman Premium,1,GradientBoosting,1186.0,338.96206020851463,4.206370712819125,16.392039892118834,8.542893230453016,65.95470789946643,75.1897631633773,0.15190038726798671
546,Crystal Tat Beach Pearl Collection,1,GradientBoosting,1132.0,342.7929850189696,4.257113908095126,21.53000698129321,9.73797586071733,75.15442460772557,79.72686824347763,0.16414637623050843
1041,Royal Taj Mahal Hotel,1,GradientBoosting,1100.0,388.8501791409321,4.55376889552801,18.271977673114815,8.823195490377241,73.37556965913654,87.76354598653981,0.1507895169251653
